Date,Close
2017/11/7,5033.38
2017/11/6,5034.3
2017/11/3,5027.49
2017/11/2,5011.48
2017/11/1,5009.99
2017/10/31,5002.03
2017/10/30,4997.15
2017/10/27,5012.75
2017/10/26,4972.6
2017/10/25,4966.29
2017/10/24,4989.56
2017/10/23,4981.37
2017/10/20,5001.11
2017/10/19,4975.32
2017/10/18,4973.28
2017/10/17,4969.38
2017/10/16,4966.05
2017/10/13,4957.27
2017/10/12,4952.85
2017/10/11,4960.79
2017/10/10,4951.77
2017/10/9,4940.16
2017/10/6,4949.09
2017/10/5,4952.85
2017/10/4,4924.19
2017/10/3,4917.73
2017/10/2,4906.92
2017/9/29,4887.97
2017/9/28,4869.81
2017/9/27,4862.93
2017/9/26,4843.14
2017/9/25,4842.41
2017/9/22,4853.2
2017/9/21,4849.95
2017/9/20,4864.61
2017/9/19,4861.52
2017/9/18,4856.08
2017/9/15,4848.84
2017/9/14,4839.29
2017/9/13,4843.04
2017/9/12,4839.31
2017/9/11,4822.8
2017/9/8,4771.02
2017/9/7,4777.93
2017/9/6,4777.69
2017/9/5,4762.75
2017/9/1,4798.99
2017/8/31,4789.18
2017/8/30,4761.72
2017/8/29,4738.62
2017/8/28,4733.97
2017/8/25,4731.46
2017/8/24,4723.03
2017/8/23,4732.76
2017/8/22,4748.73
2017/8/21,4701.82
2017/8/18,4696.22
2017/8/17,4704.73
2017/8/16,4778.28
2017/8/15,4770.15
2017/8/14,4771.43
2017/8/11,4723.73
2017/8/10,4717.4
2017/8/9,4784.94
2017/8/8,4786.12
2017/8/7,4797.13
2017/8/4,4789.11
2017/8/3,4779.99
2017/8/2,4789.54
2017/8/1,4786.27
2017/7/31,4774.56
2017/7/28,4778.02
2017/7/27,4784.26
2017/7/26,4788.41
2017/7/25,4787.04
2017/7/24,4773.1
2017/7/21,4778.07
2017/7/20,4779.84
2017/7/19,4780.25
2017/7/18,4754.27
2017/7/17,4751.33
2017/7/14,4751.43
2017/7/13,4729.25
2017/7/12,4720.28
2017/7/11,4685.64
2017/7/10,4689.25
2017/7/7,4684.88
2017/7/6,4655.02
2017/7/5,4697.34
2017/7/3,4689.61
2017/6/30,4678.36
2017/6/29,4670.96
2017/6/28,4711.33
2017/6/27,4669.27
2017/6/26,4707.27
2017/6/23,4705.73
2017/6/22,4698.4
2017/6/21,4700.5
2017/6/20,4702.82
2017/6/19,4734.48
2017/6/16,4695.23
2017/6/15,4693.86
2017/6/14,4703.53
2017/6/13,4707.88
2017/6/12,4685.54
2017/6/9,4689.79
2017/6/8,4693.67
2017/6/7,4692.29
2017/6/6,4683.96
2017/6/5,4697
2017/6/2,4702.56
2017/6/1,4685.11
2017/5/31,4649.34
2017/5/30,4650.76
2017/5/26,4655.65
2017/5/25,4653.59
2017/5/24,4632.37
2017/5/23,4620.7
2017/5/22,4612.12
2017/5/19,4588.35
2017/5/18,4557.41
2017/5/17,4540.58
2017/5/16,4623.26
2017/5/15,4625.51
2017/5/12,4602.96
2017/5/11,4609.69
2017/5/10,4618.19
2017/5/9,4611.21
2017/5/8,4615.73
2017/5/5,4615.09
2017/5/4,4596.24
2017/5/3,4593.32
2017/5/2,4598.24
2017/5/1,4592.78
2017/4/28,4584.82
2017/4/27,4593.57
2017/4/26,4590.56
2017/4/25,4592.74
2017/4/24,4564.93
2017/4/21,4515.9
2017/4/20,4529.65
2017/4/19,4495.56
2017/4/18,4502.66
2017/4/17,4515.65
2017/4/13,4477.07
2017/4/12,4507.76
2017/4/11,4524.71
2017/4/10,4530.57
2017/4/7,4527.2
2017/4/6,4530.93
2017/4/5,4520.86
2017/4/4,4534.25
2017/4/3,4530.98
2017/3/31,4538.21
2017/3/30,4548.46
2017/3/29,4535.01
2017/3/28,4529.17
2017/3/27,4496.53
2017/3/24,4501.11
2017/3/23,4504.92
2017/3/22,4509.65
2017/3/21,4500.98
2017/3/20,4557.12
2017/3/17,4566.17
2017/3/16,4572.16
2017/3/15,4579.44
2017/3/14,4541.26
2017/3/13,4556.44
2017/3/10,4553.28
2017/3/9,4538.36
2017/3/8,4534.68
2017/3/7,4543.75
2017/3/6,4556.72
2017/3/3,4571.6
2017/3/2,4569.17
2017/3/1,4595.74
2017/2/28,4532.93
2017/2/27,4544.51
2017/2/24,4539.25
2017/2/23,4531.39
2017/2/22,4528.97
2017/2/21,4533.46
2017/2/17,4506.2
2017/2/16,4498.56
2017/2/15,4501.99
2017/2/14,4478.98
2017/2/13,4459.83
2017/2/10,4435.42
2017/2/9,4419.4
2017/2/8,4393.31
2017/2/7,4388.87
2017/2/6,4387.67
2017/2/3,4396.95
2017/2/2,4364.85
2017/2/1,4362.1
2017/1/31,4359.81
2017/1/30,4363.67
2017/1/27,4389.85
2017/1/26,4393.43
2017/1/25,4396.57
2017/1/24,4361.56
2017/1/23,4333.1
2017/1/20,4344.67
2017/1/19,4329.96
2017/1/18,4345.57
2017/1/17,4337.2
2017/1/13,4350.11
2017/1/12,4342.09
2017/1/11,4351.32
2017/1/10,4338.64
2017/1/9,4338.62
2017/1/6,4354.05
2017/1/5,4337.45
2017/1/4,4340.75
2017/1/3,4315.08
2016/12/30,4278.66
2016/12/29,4298.39
2016/12/28,4299.45
2016/12/27,4334.93
2016/12/23,4325.17
2016/12/22,4319.33
2016/12/21,4326.85
2016/12/20,4337.36
2016/12/19,4321.02
2016/12/16,4312.4
2016/12/15,4319.84
2016/12/14,4302.93
2016/12/13,4337.86
2016/12/12,4308.94
2016/12/9,4313.61
2016/12/8,4288.1
2016/12/7,4278.44
2016/12/6,4222.04
2016/12/5,4207.57
2016/12/2,4182.81
2016/12/1,4181.15
2016/11/30,4195.73
2016/11/29,4205.99
2016/11/28,4199.39
